,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,EHA,2014-01-01 00:08,50.00,25.68,5.8,M,0.0,M,M,M,M,M
1,SYF,2014-01-01 00:15,41.72,35.14,4.6,M,0.0,10.00,M,CLR,M,M
2,EWK,2014-01-01 00:15,42.80,48.67,13.8,M,0.0,10.00,M,CLR,M,M
3,PTS,2014-01-01 00:15,44.60,42.14,10.4,M,0.0,10.00,M,CLR,M,M
4,HYS,2014-01-01 00:15,44.60,39.06,10.4,M,0.0,10.00,M,CLR,M,M
5,PTT,2014-01-01 00:15,37.40,55.68,10.4,M,0.0,10.00,M,CLR,M,M
6,IDP,2014-01-01 00:15,M,M,M,M,0.0,M,M,M,M,M
7,CBK,2014-01-01 00:15,44.60,48.96,9.2,M,0.0,10.00,M,CLR,M,M
8,GBD,2014-01-01 00:15,37.40,64.70,9.2,M,0.0,10.00,M,CLR,M,M
9,EHA,2014-01-01 00:28,50.00,26.70,5.8,M,0.0,M,M,M,M,M
10,PTT,2014-01-01 00:35,39.20,51.89,10.4,M,0.0,10.00,M,CLR,M,M
11,SYF,2014-01-01 00:35,39.02,39.63,6.9,M,0.0,10.00,M,CLR,M,M
12,EWK,2014-01-01 00:35,41.00,52.17,12.7,M,0.0,10.00,M,CLR,M,M
13,HYS,2014-01-01 00:35,42.80,38.75,11.5,M,0.0,10.00,M,CLR,M,M
14,GBD,2014-01-01 00:35,39.20,60.29,9.2,M,0.0,10.00,M,CLR,M,M
15,PTS,2014-01-01 00:35,43.34,44.55,10.4,M,0.0,10.00,M,CLR,M,M
16,IDP,2014-01-01 00:35,M,M,M,M,0.0,M,M,M,M,M
17,CBK,2014-01-01 00:35,41.00,56.22,8.1,M,0.0,10.00,M,CLR,M,M
18,EHA,2014-01-01 00:48,48.92,29.12,4.6,M,0.0,M,M,M,M,M
19,CFV,2014-01-01 00:52,44.96,39.72,12.7,1020.90,0.0,10.00,M,CLR,M,M
20,LWC,2014-01-01 00:52,42.08,52.73,9.2,1019.10,0.0,10.00,M,CLR,M,M
21,PPF,2014-01-01 00:52,42.98,41.24,5.8,1021.20,0.0,10.00,M,CLR,M,M
22,DDC,2014-01-01 00:52,42.08,48.56,6.9,1017.10,0.0,10.00,M,CLR,M,M
23,CNU,2014-01-01 00:52,39.92,50.46,6.9,1021.00,0.0,10.00,M,CLR,M,M
24,MHK,2014-01-01 00:52,39.02,59.37,4.6,1018.20,0.0,10.00,M,CLR,M,M
25,HUT,2014-01-01 00:52,42.08,50.42,11.5,1017.50,0.0,10.00,M,CLR,M,M
26,OJC,2014-01-01 00:53,41.00,48.39,9.2,1019.60,0.0,10.00,M,CLR,M,M
27,HLC,2014-01-01 00:53,35.06,49.30,3.5,1017.40,0.0,10.00,M,CLR,M,M
28,TOP,2014-01-01 00:53,46.04,36.70,4.6,1018.70,0.0,10.00,M,CLR,M,M
29,EMP,2014-01-01 00:53,39.92,46.41,11.5,1019.10,0.0,10.00,M,CLR,M,M
30,SLN,2014-01-01 00:53,39.92,59.50,10.4,1017.50,0.0,10.00,M,CLR,M,M
31,FOE,2014-01-01 00:53,39.92,46.41,8.1,1018.70,0.0,10.00,M,CLR,M,M
32,RSL,2014-01-01 00:53,42.08,48.56,6.9,1016.90,0.0,10.00,M,CLR,M,M
33,ICT,2014-01-01 00:53,41.00,57.06,15.0,1018.80,0.0,10.00,M,FEW,M,M
34,GLD,2014-01-01 00:53,37.04,45.58,9.2,1017.70,0.0,10.00,M,CLR,M,M
35,IXD,2014-01-01 00:53,39.92,50.46,12.7,1019.50,0.0,10.00,M,CLR,M,M
36,WLD,2014-01-01 00:54,39.92,57.33,8.1,1020.30,0.0,10.00,M,CLR,M,M
37,GCK,2014-01-01 00:54,39.92,39.17,8.1,1016.80,0.0,10.00,M,CLR,M,M
38,AAO,2014-01-01 00:54,44.06,50.73,19.6,1018.60,0.0,10.00,25.3,CLR,M,M
39,CBK,2014-01-01 00:55,41.00,56.22,10.4,M,0.0,10.00,M,CLR,M,M
40,CNK,2014-01-01 00:55,39.02,56.77,5.8,1017.40,0.0,10.00,M,CLR,M,M
41,GBD,2014-01-01 00:55,37.40,64.70,8.1,M,0.0,10.00,M,CLR,M,M
42,PTT,2014-01-01 00:55,39.20,51.89,12.7,M,0.0,10.00,M,CLR,M,M
43,SYF,2014-01-01 00:55,35.78,46.09,9.2,M,0.0,10.00,M,CLR,M,M
44,IDP,2014-01-01 00:55,M,M,M,M,0.0,M,M,M,M,M
45,HYS,2014-01-01 00:55,41.00,44.85,9.2,M,0.0,10.00,M,CLR,M,M
46,EWK,2014-01-01 00:55,41.00,52.17,16.1,M,0.0,10.00,M,CLR,M,M
47,PTS,2014-01-01 00:55,42.80,46.18,11.5,M,0.0,10.00,M,CLR,M,M
48,P28,2014-01-01 00:56,41.00,48.39,10.4,1018.70,0.0,M,M,M,M,M
49,IAB,2014-01-01 00:58,42.08,55.14,16.1,1019.70,0.0,10.00,M,CLR,M,M
50,FRI,2014-01-01 00:58,41.00,54.97,9.2,1018.00,0.0,10.00,M,CLR,M,M
51,EHA,2014-01-01 01:08,48.92,27.79,5.8,M,0.0,M,M,M,M,M
52,CBK,2014-01-01 01:15,41.00,56.22,10.4,M,0.0,10.00,M,CLR,M,M
53,GBD,2014-01-01 01:15,35.60,69.46,8.1,M,0.0,10.00,M,CLR,M,M
54,PTS,2014-01-01 01:15,42.98,44.49,13.8,M,0.0,10.00,M,CLR,M,M
55,EWK,2014-01-01 01:15,41.00,52.17,16.1,M,0.0,10.00,M,CLR,M,M
56,IDP,2014-01-01 01:15,M,M,M,M,0.0,M,M,M,M,M
57,SYF,2014-01-01 01:15,36.32,45.82,8.1,M,0.0,10.00,M,CLR,M,M
58,HYS,2014-01-01 01:15,39.20,48.10,9.2,M,0.0,10.00,M,CLR,M,M
59,PTT,2014-01-01 01:15,37.40,55.68,12.7,M,0.0,10.00,M,CLR,M,M
60,EHA,2014-01-01 01:28,46.94,31.37,4.6,M,0.0,M,M,M,M,M
61,PTS,2014-01-01 01:35,42.98,44.16,12.7,M,0.0,10.00,17.3,CLR,M,M
62,HYS,2014-01-01 01:35,37.40,47.80,5.8,M,0.0,10.00,M,CLR,M,M
63,IDP,2014-01-01 01:35,M,M,M,M,0.0,M,M,M,M,M
64,EWK,2014-01-01 01:35,41.00,52.17,16.1,M,0.0,10.00,M,CLR,M,M
65,CBK,2014-01-01 01:35,37.40,55.68,4.6,M,0.0,10.00,M,CLR,M,M
66,GBD,2014-01-01 01:35,35.60,69.46,9.2,M,0.0,10.00,M,CLR,M,M
67,SYF,2014-01-01 01:35,35.42,48.98,9.2,M,0.0,10.00,M,CLR,M,M
68,PTT,2014-01-01 01:35,37.40,55.68,12.7,M,0.0,10.00,M,CLR,M,M
69,EHA,2014-01-01 01:48,46.94,29.94,6.9,M,0.0,M,M,M,M,M
70,HUT,2014-01-01 01:52,39.92,54.81,9.2,1017.80,0.0,10.00,M,CLR,M,M
71,CNU,2014-01-01 01:52,39.02,52.26,12.7,1020.50,0.0,10.00,M,CLR,M,M
72,PPF,2014-01-01 01:52,41.00,46.23,6.9,1021.30,0.0,10.00,M,CLR,M,M
73,MHK,2014-01-01 01:52,37.04,64.17,4.6,1018.40,0.0,10.00,M,CLR,M,M
74,LWC,2014-01-01 01:52,35.96,61.67,5.8,1019.70,0.0,10.00,M,CLR,M,M
75,CFV,2014-01-01 01:52,44.96,36.52,11.5,1021.80,0.0,10.00,M,CLR,M,M
76,DDC,2014-01-01 01:52,37.04,59.09,8.1,1017.70,0.0,10.00,M,CLR,M,M
77,EMP,2014-01-01 01:53,39.92,46.41,12.7,1018.90,0.0,10.00,M,CLR,M,M
78,RSL,2014-01-01 01:53,39.02,52.26,8.1,1017.20,0.0,10.00,M,CLR,M,M
79,FOE,2014-01-01 01:53,39.02,45.91,9.2,1019.10,0.0,10.00,M,CLR,M,M
80,ICT,2014-01-01 01:53,41.00,57.06,16.1,1019.10,0.0,10.00,M,FEW,M,M
81,TOP,2014-01-01 01:53,42.98,41.24,3.5,1019.10,0.0,10.00,M,CLR,M,M
82,GLD,2014-01-01 01:53,33.08,53.36,9.2,1017.80,0.0,10.00,M,CLR,M,M
83,HLC,2014-01-01 01:53,33.08,55.89,3.5,1017.50,0.0,10.00,M,CLR,M,M
84,IXD,2014-01-01 01:53,37.94,52.09,11.5,1019.80,0.0,10.00,M,CLR,M,M
85,OJC,2014-01-01 01:53,37.94,52.09,8.1,1019.90,0.0,10.00,M,CLR,M,M
86,SLN,2014-01-01 01:53,37.04,66.60,10.4,1017.60,0.0,10.00,M,CLR,M,M
87,AAO,2014-01-01 01:54,44.06,48.87,21.9,1018.60,0.0,10.00,29.9,CLR,M,M
88,GCK,2014-01-01 01:54,33.98,49.51,6.9,1017.50,0.0,10.00,M,CLR,M,M
89,WLD,2014-01-01 01:54,39.92,54.81,9.2,1020.50,0.0,10.00,M,CLR,M,M
90,SYF,2014-01-01 01:55,36.86,48.09,9.2,M,0.0,10.00,M,CLR,M,M
91,IDP,2014-01-01 01:55,M,M,M,M,0.0,M,M,M,M,M
92,PTT,2014-01-01 01:55,37.40,60.04,15.0,M,0.0,10.00,M,CLR,M,M
93,GBD,2014-01-01 01:55,37.40,64.70,8.1,M,0.0,10.00,M,CLR,M,M
94,PTS,2014-01-01 01:55,42.98,44.16,12.7,M,0.0,10.00,M,CLR,M,M
95,HYS,2014-01-01 01:55,39.20,44.55,4.6,M,0.0,10.00,M,CLR,M,M
96,EWK,2014-01-01 01:55,41.00,52.17,15.0,M,0.0,10.00,M,CLR,M,M
97,CNK,2014-01-01 01:55,35.06,63.91,4.6,1017.60,0.0,10.00,M,CLR,M,M
98,CBK,2014-01-01 01:55,37.40,64.70,0.0,M,0.0,10.00,M,CLR,M,M
99,P28,2014-01-01 01:56,39.92,52.79,9.2,1019.10,0.0,M,M,M,M,M
100,FRI,2014-01-01 01:58,39.74,56.03,1.2,1018.40,0.0,10.00,M,CLR,M,M
101,IAB,2014-01-01 01:58,43.52,48.42,21.9,1019.20,0.0,10.00,28.8,CLR,M,M
102,EHA,2014-01-01 02:08,46.04,30.97,8.1,M,0.0,M,M,M,M,M
103,SYF,2014-01-01 02:15,35.24,50.49,10.4,M,0.0,10.00,M,CLR,M,M
104,PTS,2014-01-01 02:15,42.26,46.09,11.5,M,0.0,10.00,M,CLR,M,M
105,EWK,2014-01-01 02:15,41.00,52.17,16.1,M,0.0,10.00,M,CLR,M,M
106,HYS,2014-01-01 02:15,42.80,41.84,5.8,M,0.0,10.00,M,CLR,M,M
107,IDP,2014-01-01 02:15,M,M,M,M,0.0,M,M,M,M,M
108,PTT,2014-01-01 02:15,37.40,60.04,13.8,M,0.0,10.00,M,CLR,M,M
109,CBK,2014-01-01 02:15,33.80,64.23,0.0,M,0.0,10.00,M,CLR,M,M
110,GBD,2014-01-01 02:15,35.60,64.46,4.6,M,0.0,10.00,M,CLR,M,M
111,EHA,2014-01-01 02:28,44.06,33.40,9.2,M,0.0,M,M,M,M,M
112,CBK,2014-01-01 02:35,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
113,PTS,2014-01-01 02:35,41.90,46.73,11.5,M,0.0,10.00,M,CLR,M,M
114,IDP,2014-01-01 02:35,M,M,M,M,0.0,M,M,M,M,M
115,HYS,2014-01-01 02:35,32.00,43.34,0.0,M,0.0,10.00,M,CLR,M,M
116,PTT,2014-01-01 02:35,37.40,60.04,15.0,M,0.0,10.00,M,CLR,M,M
117,EWK,2014-01-01 02:35,41.00,52.17,21.9,M,0.0,10.00,M,CLR,M,M
118,SYF,2014-01-01 02:35,36.32,49.88,10.4,M,0.0,10.00,M,CLR,M,M
119,GBD,2014-01-01 02:35,35.60,64.46,5.8,M,0.0,10.00,M,CLR,M,M
120,EHA,2014-01-01 02:48,44.06,33.40,8.1,M,0.0,M,M,M,M,M
121,PPF,2014-01-01 02:52,41.00,44.51,6.9,1021.10,0.0,10.00,M,CLR,M,M
122,MHK,2014-01-01 02:52,35.06,66.36,4.6,1017.80,0.0,10.00,M,CLR,M,M
123,CFV,2014-01-01 02:52,42.98,42.84,11.5,1021.00,0.0,10.00,M,CLR,M,M
124,DDC,2014-01-01 02:52,39.02,49.93,12.7,1017.30,0.0,10.00,M,CLR,M,M
125,HUT,2014-01-01 02:52,35.96,64.03,6.9,1017.90,0.0,10.00,M,CLR,M,M
126,LWC,2014-01-01 02:52,35.06,63.91,8.1,1019.40,0.0,10.00,M,CLR,M,M
127,CNU,2014-01-01 02:52,37.94,54.51,12.7,1020.50,0.0,10.00,M,CLR,M,M
128,HLC,2014-01-01 02:53,26.96,65.84,3.5,1017.30,0.0,10.00,M,CLR,M,M
129,IXD,2014-01-01 02:53,35.96,56.32,10.4,1019.70,0.0,10.00,M,CLR,M,M
130,GLD,2014-01-01 02:53,33.98,53.91,11.5,1017.10,0.0,10.00,M,CLR,M,M
131,ICT,2014-01-01 02:53,42.08,52.73,13.8,1018.90,0.0,10.00,M,CLR,M,M
132,TOP,2014-01-01 02:53,39.02,48.07,4.6,1018.70,0.0,10.00,M,CLR,M,M
133,FOE,2014-01-01 02:53,37.04,49.62,9.2,1018.90,0.0,10.00,M,CLR,M,M
134,SLN,2014-01-01 02:53,35.96,66.97,11.5,1017.60,0.0,10.00,M,CLR,M,M
135,RSL,2014-01-01 02:53,33.98,58.66,3.5,1017.00,0.0,10.00,M,CLR,M,M
136,EMP,2014-01-01 02:53,37.94,50.14,11.5,1019.40,0.0,10.00,M,CLR,M,M
137,OJC,2014-01-01 02:53,37.94,52.09,9.2,1019.70,0.0,10.00,M,CLR,M,M
138,WLD,2014-01-01 02:54,41.00,52.56,11.5,1020.00,0.0,10.00,M,CLR,M,M
139,AAO,2014-01-01 02:54,44.06,46.73,19.6,1018.80,0.0,10.00,32.2,CLR,M,M
140,GCK,2014-01-01 02:54,33.98,51.47,5.8,1017.20,0.0,10.00,M,CLR,M,M
141,EWK,2014-01-01 02:55,41.00,52.17,17.3,M,0.0,10.00,M,CLR,M,M
142,IDP,2014-01-01 02:55,M,M,M,M,0.0,M,M,M,M,M
143,PTS,2014-01-01 02:55,41.18,48.78,10.4,M,0.0,10.00,M,CLR,M,M
144,CBK,2014-01-01 02:55,32.00,63.99,5.8,M,0.0,10.00,M,CLR,M,M
145,HYS,2014-01-01 02:55,35.60,51.33,0.0,M,0.0,10.00,M,CLR,M,M
146,SYF,2014-01-01 02:55,38.30,46.14,11.5,M,0.0,10.00,M,CLR,M,M
147,CNK,2014-01-01 02:55,30.92,72.12,8.1,1018.10,0.0,10.00,M,CLR,M,M
148,PTT,2014-01-01 02:55,37.40,64.70,13.8,M,0.0,10.00,M,CLR,M,M
149,GBD,2014-01-01 02:55,33.80,69.25,6.9,M,0.0,10.00,M,CLR,M,M
150,P28,2014-01-01 02:56,37.04,59.09,5.8,1019.10,0.0,M,M,M,M,M
151,FRI,2014-01-01 02:58,36.14,66.99,5.8,1017.60,0.0,10.00,M,CLR,M,M
152,IAB,2014-01-01 02:58,42.80,49.78,16.1,1019.40,0.0,10.00,M,CLR,M,M
153,EHA,2014-01-01 03:08,41.00,36.13,5.8,M,0.0,M,M,M,M,M
154,SYF,2014-01-01 03:15,39.92,44.33,10.4,M,0.0,10.00,M,CLR,M,M
155,PTS,2014-01-01 03:15,41.36,47.72,12.7,M,0.0,10.00,M,CLR,M,M
156,IDP,2014-01-01 03:15,M,M,M,M,0.0,M,M,M,M,M
157,HYS,2014-01-01 03:15,30.20,59.01,3.5,M,0.0,10.00,M,CLR,M,M
158,PTT,2014-01-01 03:15,37.40,64.70,15.0,M,0.0,10.00,M,CLR,M,M
159,CBK,2014-01-01 03:15,30.20,68.83,4.6,M,0.0,10.00,M,CLR,M,M
160,GBD,2014-01-01 03:15,33.80,69.25,6.9,M,0.0,10.00,M,CLR,M,M
161,EWK,2014-01-01 03:15,39.20,55.95,15.0,M,0.0,10.00,M,CLR,M,M
162,EHA,2014-01-01 03:28,37.94,38.84,6.9,M,0.0,M,M,M,M,M
163,GBD,2014-01-01 03:35,37.40,60.04,10.4,M,0.0,10.00,M,CLR,M,M
164,PTS,2014-01-01 03:35,41.72,47.41,11.5,M,0.0,10.00,M,CLR,M,M
165,IDP,2014-01-01 03:35,M,M,M,M,0.0,M,M,M,M,M
166,SYF,2014-01-01 03:35,36.50,48.77,13.8,M,0.0,10.00,M,CLR,M,M
167,PTT,2014-01-01 03:35,35.60,69.46,13.8,M,0.0,10.00,M,CLR,M,M
168,CBK,2014-01-01 03:35,32.00,63.99,4.6,M,0.0,10.00,M,SCT,M,M
169,HYS,2014-01-01 03:35,30.20,54.59,4.6,M,0.0,10.00,M,CLR,M,M
170,EWK,2014-01-01 03:35,39.20,55.95,15.0,M,0.0,10.00,M,CLR,M,M
171,EHA,2014-01-01 03:48,39.02,39.02,8.1,M,0.0,M,M,M,M,M
172,LWC,2014-01-01 03:52,35.96,61.67,5.8,1018.90,0.0,10.00,M,CLR,M,M
173,CFV,2014-01-01 03:52,42.08,46.41,13.8,1020.90,0.0,10.00,M,CLR,M,M
174,MHK,2014-01-01 03:52,37.94,61.94,5.8,1017.90,0.0,10.00,M,CLR,M,M
175,CNU,2014-01-01 03:52,37.04,56.48,9.2,1020.40,0.0,10.00,M,CLR,M,M
176,HUT,2014-01-01 03:52,35.06,66.36,6.9,1017.70,0.0,10.00,M,CLR,M,M
177,DDC,2014-01-01 03:52,37.04,53.97,10.4,1017.10,0.0,10.00,M,CLR,M,M
178,PPF,2014-01-01 03:52,41.00,46.23,6.9,1021.00,0.0,10.00,M,CLR,M,M
179,OJC,2014-01-01 03:53,37.94,52.09,10.4,1018.90,0.0,10.00,M,CLR,M,M
180,EMP,2014-01-01 03:53,37.04,53.97,13.8,1018.70,0.0,10.00,M,CLR,M,M
181,SLN,2014-01-01 03:53,33.98,72.45,3.5,1017.60,0.0,10.00,M,CLR,M,M
182,HLC,2014-01-01 03:53,26.06,68.33,3.5,1017.00,0.0,10.00,M,CLR,M,M
183,IXD,2014-01-01 03:53,35.06,58.37,10.4,1019.10,0.0,10.00,M,CLR,M,M
184,RSL,2014-01-01 03:53,32.00,65.97,6.9,1016.50,0.0,10.00,M,CLR,M,M
185,ICT,2014-01-01 03:53,39.02,61.63,10.4,1018.50,0.0,10.00,M,CLR,M,M
186,TOP,2014-01-01 03:53,41.00,44.51,6.9,1018.10,0.0,10.00,M,CLR,M,M
187,GLD,2014-01-01 03:53,37.94,50.14,15.0,1015.50,0.0,10.00,M,BKN,M,M
188,FOE,2014-01-01 03:53,33.98,56.02,8.1,1018.20,0.0,10.00,M,CLR,M,M
189,GCK,2014-01-01 03:54,32.00,55.72,8.1,1016.60,0.0,10.00,M,CLR,M,M
190,WLD,2014-01-01 03:54,39.92,54.81,12.7,1019.60,0.0,10.00,M,CLR,M,M
191,AAO,2014-01-01 03:54,41.00,54.97,12.7,1018.60,0.0,10.00,M,CLR,M,M
192,CNK,2014-01-01 03:55,26.96,74.50,11.5,1018.20,0.0,10.00,M,CLR,M,M
193,EWK,2014-01-01 03:55,39.20,55.95,16.1,M,0.0,10.00,20.7,CLR,M,M
194,PTS,2014-01-01 03:55,40.64,52.12,10.4,M,0.0,10.00,M,CLR,M,M
195,PTT,2014-01-01 03:55,35.60,69.46,12.7,M,0.0,10.00,M,CLR,M,M
196,IDP,2014-01-01 03:55,M,M,M,M,0.0,M,M,M,M,M
197,CBK,2014-01-01 03:55,32.00,63.99,5.8,M,0.0,10.00,M,SCT,M,M
198,HYS,2014-01-01 03:55,30.20,59.01,8.1,M,0.0,10.00,M,CLR,M,M
199,SYF,2014-01-01 03:55,37.40,47.80,6.9,M,0.0,10.00,M,CLR,M,M
200,GBD,2014-01-01 03:55,35.60,64.46,10.4,M,0.0,10.00,M,CLR,M,M
201,P28,2014-01-01 03:56,37.04,59.09,8.1,1018.10,0.0,M,M,M,M,M
202,IAB,2014-01-01 03:58,37.94,62.87,10.4,1019.30,0.0,10.00,M,CLR,M,M
203,FRI,2014-01-01 03:58,35.96,67.97,5.8,1017.70,0.0,10.00,M,CLR,M,M
204,EHA,2014-01-01 04:08,39.02,39.02,8.1,M,0.0,M,M,M,M,M
205,GBD,2014-01-01 04:15,35.60,64.46,11.5,M,0.0,10.00,M,CLR,M,M
206,EWK,2014-01-01 04:15,39.20,55.95,13.8,M,0.0,10.00,M,CLR,M,M
207,SYF,2014-01-01 04:15,35.24,52.07,9.2,M,0.0,10.00,M,SCT,M,M
208,CBK,2014-01-01 04:15,30.20,68.83,4.6,M,0.0,10.00,M,BKN,M,M
209,IDP,2014-01-01 04:15,M,M,M,M,0.0,M,M,M,M,M
210,PTT,2014-01-01 04:15,35.60,69.46,12.7,M,0.0,10.00,M,CLR,M,M
211,PTS,2014-01-01 04:15,39.56,55.17,5.8,M,0.0,10.00,M,CLR,M,M
212,HYS,2014-01-01 04:15,28.40,68.61,3.5,M,0.0,10.00,M,CLR,M,M
213,EHA,2014-01-01 04:28,37.94,38.84,6.9,M,0.0,M,M,M,M,M
214,CBK,2014-01-01 04:35,30.20,68.83,4.6,M,0.0,10.00,M,OVC,M,M
215,IDP,2014-01-01 04:35,M,M,M,M,0.0,M,M,M,M,M
216,PTT,2014-01-01 04:35,35.60,69.46,10.4,M,0.0,10.00,M,CLR,M,M
217,PTS,2014-01-01 04:35,37.94,57.04,8.1,M,0.0,10.00,M,CLR,M,M
218,GBD,2014-01-01 04:35,35.60,64.46,12.7,M,0.0,10.00,M,CLR,M,M
219,HYS,2014-01-01 04:35,26.60,68.40,0.0,M,0.0,10.00,M,CLR,M,M
220,EWK,2014-01-01 04:35,39.20,55.95,15.0,M,0.0,10.00,M,CLR,M,M
221,SYF,2014-01-01 04:35,37.22,49.27,9.2,M,0.0,10.00,M,CLR,M,M
222,EHA,2014-01-01 04:48,35.96,41.99,6.9,M,0.0,M,M,M,M,M
223,CBK,2014-01-01 04:50,30.20,68.83,4.6,M,0.0,10.00,M,OVC,M,M
224,MHK,2014-01-01 04:52,30.92,78.35,0.0,1017.60,0.0,10.00,M,CLR,M,M
225,DDC,2014-01-01 04:52,33.98,63.77,10.4,1016.20,0.0,10.00,M,CLR,M,M
226,HUT,2014-01-01 04:52,33.08,71.82,9.2,1016.70,0.0,10.00,M,CLR,M,M
227,CNU,2014-01-01 04:52,37.04,56.48,9.2,1020.30,0.0,10.00,M,CLR,M,M
228,PPF,2014-01-01 04:52,41.00,48.39,10.4,1021.00,0.0,10.00,19.6,CLR,M,M
229,LWC,2014-01-01 04:52,35.96,58.94,4.6,1018.40,0.0,10.00,M,CLR,M,M
230,CFV,2014-01-01 04:52,39.92,52.79,12.7,1021.30,0.0,10.00,M,CLR,M,M
231,ICT,2014-01-01 04:53,35.96,66.97,10.4,1018.40,0.0,10.00,M,CLR,M,M
232,TOP,2014-01-01 04:53,35.96,51.78,0.0,1017.90,0.0,10.00,M,CLR,M,M
233,RSL,2014-01-01 04:53,33.08,63.17,5.8,1016.30,0.0,10.00,M,CLR,M,M
234,OJC,2014-01-01 04:53,37.94,50.14,12.7,1018.50,0.0,10.00,M,CLR,M,M
235,HLC,2014-01-01 04:53,30.02,63.24,10.4,1016.90,0.0,10.00,M,CLR,M,M
236,IXD,2014-01-01 04:53,35.06,58.37,11.5,1018.70,0.0,10.00,M,CLR,M,M
237,SLN,2014-01-01 04:53,32.00,72.24,3.5,1017.40,0.0,10.00,M,CLR,M,M
238,GLD,2014-01-01 04:53,42.08,44.34,12.7,1013.50,0.0,10.00,M,SCT,M,M
239,FOE,2014-01-01 04:53,35.96,54.21,10.4,1017.60,0.0,10.00,M,CLR,M,M
240,EMP,2014-01-01 04:53,35.06,61.08,11.5,1018.20,0.0,10.00,M,CLR,M,M
241,AAO,2014-01-01 04:54,35.96,64.03,6.9,1018.60,0.0,10.00,M,CLR,M,M
242,GCK,2014-01-01 04:54,33.08,58.08,9.2,1015.40,0.0,10.00,M,CLR,M,M
243,WLD,2014-01-01 04:54,39.02,56.77,9.2,1019.40,0.0,10.00,M,CLR,M,M
244,GBD,2014-01-01 04:55,35.60,64.46,11.5,M,0.0,10.00,M,CLR,M,M
245,IDP,2014-01-01 04:55,M,M,M,M,0.0,M,M,M,M,M
246,EWK,2014-01-01 04:55,37.40,60.04,15.0,M,0.0,10.00,M,CLR,M,M
247,PTT,2014-01-01 04:55,33.80,74.63,11.5,M,0.0,10.00,M,CLR,M,M
248,HYS,2014-01-01 04:55,26.60,63.27,3.5,M,0.0,10.00,M,CLR,M,M
249,SYF,2014-01-01 04:55,37.94,46.80,8.1,M,0.0,10.00,M,CLR,M,M
250,CNK,2014-01-01 04:55,24.08,74.20,10.4,1018.90,0.0,10.00,M,CLR,M,M
251,PTS,2014-01-01 04:55,37.40,59.59,6.9,M,0.0,10.00,M,CLR,M,M
252,P28,2014-01-01 04:56,35.06,69.40,5.8,1017.90,0.0,M,M,M,M,M
253,FRI,2014-01-01 04:58,34.70,70.93,3.5,1017.40,0.0,10.00,M,CLR,M,M
254,IAB,2014-01-01 04:58,33.62,75.16,9.2,1019.00,0.0,10.00,M,CLR,M,M
255,EHA,2014-01-01 05:08,37.04,42.17,5.8,M,0.0,M,M,M,M,M
256,EWK,2014-01-01 05:15,37.40,60.04,15.0,M,0.0,10.00,M,CLR,M,M
257,HYS,2014-01-01 05:15,24.80,68.18,10.4,M,0.0,10.00,M,CLR,M,M
258,IDP,2014-01-01 05:15,M,M,M,M,0.0,M,M,M,M,M
259,PTS,2014-01-01 05:15,36.68,60.85,8.1,M,0.0,10.00,M,CLR,M,M
260,SYF,2014-01-01 05:15,35.78,50.57,3.5,M,0.0,10.00,M,CLR,M,M
261,CBK,2014-01-01 05:15,33.80,69.25,4.6,M,0.0,10.00,M,BKN,M,M
262,PTT,2014-01-01 05:15,33.80,74.63,10.4,M,0.0,10.00,M,CLR,M,M
263,GBD,2014-01-01 05:15,33.80,69.25,11.5,M,0.0,10.00,M,CLR,M,M
264,EHA,2014-01-01 05:28,35.06,43.52,5.8,M,0.0,M,M,M,M,M
265,SYF,2014-01-01 05:35,35.96,50.60,4.6,M,0.0,10.00,M,CLR,M,M
266,IDP,2014-01-01 05:35,M,M,M,M,0.0,M,M,M,M,M
267,PTT,2014-01-01 05:35,32.00,80.22,10.4,M,0.0,10.00,M,CLR,M,M
268,PTS,2014-01-01 05:35,37.94,58.78,6.9,M,0.0,10.00,M,CLR,M,M
269,EWK,2014-01-01 05:35,37.40,60.04,12.7,M,0.0,10.00,M,CLR,M,M
270,GBD,2014-01-01 05:35,35.60,64.46,10.4,M,0.0,10.00,M,CLR,M,M
271,HYS,2014-01-01 05:35,24.80,73.70,5.8,M,0.0,10.00,M,CLR,M,M
272,CBK,2014-01-01 05:35,33.80,69.25,0.0,M,0.0,10.00,M,CLR,M,M
273,EHA,2014-01-01 05:48,33.98,45.43,3.5,M,0.0,M,M,M,M,M
274,MHK,2014-01-01 05:52,26.96,92.12,3.5,1017.70,0.0,10.00,M,CLR,M,M
275,CFV,2014-01-01 05:52,37.94,57.04,11.5,1020.70,0.0,10.00,M,CLR,M,M
276,CNU,2014-01-01 05:52,37.94,57.04,13.8,1019.50,0.0,10.00,M,CLR,M,M
277,PPF,2014-01-01 05:52,39.02,54.68,6.9,1020.30,0.0,10.00,M,CLR,M,M
278,LWC,2014-01-01 05:52,37.04,56.48,5.8,1018.00,0.0,10.00,M,CLR,M,M
279,DDC,2014-01-01 05:52,33.08,69.17,10.4,1014.80,0.0,10.00,M,CLR,M,M
280,HUT,2014-01-01 05:52,33.98,72.45,6.9,1016.20,0.0,10.00,M,CLR,M,M
